Topic,Count,Name,Representation,Representative_Docs
-1,37,-1_ab_doğum_abd_feyenoord,"['ab', 'doğum', 'abd', 'feyenoord', 'fenerbahçe', 'ticaret', 'skandal', 'saray', 'yaptı', 'özel']","['Beyaz Saray, ABD ile AB arasındaki ticaret anlaşmasının detaylarını açıkladı', 'Özel hastanede skandal! Hasta odasında kendi doğum yaptı, suç duyurusunda bulundu', 'Özel hastanede skandal! Hasta odasında kendi doğum yaptı, suç duyurusunda bulundu']"
0,98,0_mehmet_yıldırım_lisans_yüksek,"['mehmet', 'yıldırım', 'lisans', 'yüksek', 'ali', 'ekrem', 'gündür', 'şte', 'kutlama', 'göteborg']","['Hafıza yeni bölümüyle yayında: İşte 102 yıl sonra Lozan gerçekleri', ""Şırnak'ta Jandarma Uzman Çavuş Mehmet Ali Yıldırım şehit oldu"", ""Şırnak'ta Jandarma Uzman Çavuş Mehmet Ali Yıldırım şehit oldu""]"
1,43,1_orman_yangını_beykoz_yangınlarında,"['orman', 'yangını', 'beykoz', 'yangınlarında', 'yangın', 'durum', 'haberleri', 'yumaklı', 'endonezya', 'kahramanmaraş']","[""Son dakika orman yangını haberleri: Bursa, Karabük ve Kahramanmaraş'ta orman yangınlarında son durum! Bakan Yumaklı: Çok riskli bir haftadayız"", ""SON DAKİKA ORMAN YANIGINI: Beykoz'da orman yangını çıktı! Beykoz orman yangını son durum nedir, söndürüldü mü?"", ""SON DAKİKA ORMAN YANIGINI: Beykoz'da orman yangını çıktı! Beykoz orman yangını son durum nedir, söndürüldü mü?""]"
2,38,2_şehit_düşen_kayalıklardan_yaralı,"['şehit', 'düşen', 'kayalıklardan', 'yaralı', 'yerlikaya', 'feci', 'otomobil', 'aile', 'almanya', 'asker']","[""Şırnak'ta kayalıklardan düşen jandarma uzman çavuş şehit oldu"", 'Bakan Yerlikaya duyurdu! Kayalıklardan düşen jandarma uzman çavuş şehit oldu', 'Bakan Yerlikaya duyurdu! Kayalıklardan düşen jandarma uzman çavuş şehit oldu']"
3,32,3_beşiktaş_hakem_shakhtar_maçına,"['beşiktaş', 'hakem', 'shakhtar', 'maçına', 'donetsk', 'spanyol', 'hakkı', 'fk', 'sözleşme', 'masterchef']","['Shakhtar Donetsk - Beşiktaş maçına İspanyol hakem', 'Shakhtar Donetsk - Beşiktaş maçına İspanyol hakem', 'Shakhtar Donetsk-Beşiktaş maçına İspanyol hakem']"
4,31,4_gazze_srail_filistin_ab,"['gazze', 'srail', 'filistin', 'ab', 'devletli', 'acil', 'ülkelere', 'kazandırabilir', 'yardım', 'fidan']","['Fransa: Filistin\'i tanıma kararımız diğer ülkelere bu konuda ""ivme"" kazandırabilir', ""BM'de İsrail ve Filistin için iki devletli çözüm konulu konferans yapılacak"", ""BM'de İsrail ve Filistin için iki devletli çözüm konulu konferans yapılacak""]"
5,19,5_temmuz_2025_sonuçları_28,"['temmuz', '2025', 'sonuçları', '28', 'zaman', 'nöbetçi', 'çekilişi', 'sayısal', 'bilet', 'loto']","['Son dakika: Bugünkü On Numara çekilişi sonuçları belli oldu! 28 Temmuz 2025 On Numara bilet sonucu sorgulama ekranı!', 'Son dakika: Bu akşam Sayısal Loto çekilişi sonuçları belli oldu! 28 Temmuz 2025 Çılgın Sayısal Loto bilet sonucu sorgulama ekranı!', 'Son dakika: Bu akşam Sayısal Loto çekilişi sonuçları belli oldu! 28 Temmuz 2025 Çılgın Sayısal Loto bilet sonucu sorgulama ekranı!']"
6,18,6_türkiye_ye_iade_duyurdu,"['türkiye', 'ye', 'iade', 'duyurdu', 'edildi', 'yerlikaya', 'stanbul', 'gökalp', 'çer', 'suçlu']","[""SON DAKİKA HABERİ: Daltonlar Suç Örgütü Üyesi Ahmet Aydın Türkiye'ye iade edildi"", ""İçişleri Bakanı Yerlikaya duyurdu... Daltonlar suç örgütü üyesi Ahmet Aydın dahil 9 suçlu Türkiye'ye iade edildi"", ""İçişleri Bakanı Yerlikaya duyurdu... Daltonlar suç örgütü üyesi Ahmet Aydın dahil 9 suçlu Türkiye'ye iade edildi""]"
7,14,7_suriye_uçuşları_thy_halep,"['suriye', 'uçuşları', 'thy', 'halep', 'başlıyor', 'yeniden', 'ilk', 'barışa', 'ardından', 'konseyi']","[""THY'nin Halep uçuşları yeniden başlıyor"", ""THY'den Suriye'de yeni rota: Şam'ın ardından Halep uçuşları da yeniden başlıyor"", ""THY'den Suriye'de yeni rota: Şam'ın ardından Halep uçuşları da yeniden başlıyor""]"
8,12,8_fetö_bursa_tutuklandı_yangınıyla,"['fetö', 'bursa', 'tutuklandı', 'yangınıyla', 'yakan', 'cü', 'ilgili', 'orman', 'kundakçısı', 'itiraf']","[""Bursa'daki yangınlarla ilgili soruşturma: FETÖ bağlantısı bulunan 1 kişi tutuklandı"", ""Bursa'daki orman yangınının kundakçısı FETÖ'cü Ufuk Aytekin tutuklandı"", ""Bursa'daki orman yangınının kundakçısı FETÖ'cü Ufuk Aytekin tutuklandı""]"
