"Trendler","Arama hacmi","Başlangıç","Sona erdi","Trend dökümü","Keşfet bağlantısı"
"gedson fernandes","20 B+","28 Temmuz 2025 01:30:00 UTC+3",,"gedson fernandes,gedson,spartak moskova,kessie","https://trends.google.com/trends/explore?q=gedson%20fernandes&geo=TR&hl=tr"
"gaziantep fk - alanyaspor","10 B+","28 Temmuz 2025 17:10:00 UTC+3",,"gaziantep fk - alanyaspor","https://trends.google.com/trends/explore?q=gaziantep%20fk%20-%20alanyaspor&geo=TR&hl=tr"
"barcola","10 B+","28 Temmuz 2025 01:50:00 UTC+3",,"barcola","https://trends.google.com/trends/explore?q=barcola&geo=TR&hl=tr"
"yhgm","20 B+","28 Temmuz 2025 08:00:00 UTC+3",,"yhgm,sağlık bakanliği iller arası tayin,saglik bakanligi iller arasi tayin,iller arası tayin sağlık bakanlığı 2025 haziran,iller arası tayin,sağlık bakanlığı kura sonuçları,sağlık bakanlığı iller arası tayin 2025 haziran,sağlık bakanlığı iller arası tayin sonuçları,2025 haziran iller arası tayin sağlık bakanlığı,yhgm iller arası tayin 2025 haziran,sağlık bakanlığı iller arası tayin,sağlık bakanliği iller arası tayin 2025 sonuçları,sağlık bakanlığı iller arası tayin 2025,2025 iller arası tayin sağlık bakanlığı,sağlık bakanliği iller arası tayin sonuçları,sağlık bakanlığı tayin sonuçları,iller arası tayin sağlık bakanlığı 2025,yhgm.saglik,sağlık bakanlığı iller arası tayin 2025 haziran sonuçları,iller arası tayin sonuçları,sağlık bakanlığı tayin,sağlık bakanlığı kura","https://trends.google.com/trends/explore?q=yhgm&geo=TR&hl=tr"
"göksu çelebi","10 B+","28 Temmuz 2025 12:10:00 UTC+3",,"göksu çelebi,gokalp icer,gökalp içer gözaltına alındı,icrypex başkanı gökalp içer,goksu celebi,ekonomim","https://trends.google.com/trends/explore?q=g%C3%B6ksu%20%C3%A7elebi&geo=TR&hl=tr"
"rafael leao","5 B+","28 Temmuz 2025 01:20:00 UTC+3",,"rafael leao","https://trends.google.com/trends/explore?q=rafael%20leao&geo=TR&hl=tr"
"sigara fiyatları","2 B+","28 Temmuz 2025 20:50:00 UTC+3",,"sigara fiyatları,sigara zam,sigara zammı,sigaraya zam,sigaraya zam geldi mi,jti","https://trends.google.com/trends/explore?q=sigara%20fiyatlar%C4%B1&geo=TR&hl=tr"
"sağanak yağış uyarısı","10 B+","28 Temmuz 2025 03:00:00 UTC+3",,"sağanak yağış uyarısı,meteoroloji,hava durumu istanbul,istanbul hava durumu,istanbul","https://trends.google.com/trends/explore?q=sa%C4%9Fanak%20ya%C4%9F%C4%B1%C5%9F%20uyar%C4%B1s%C4%B1&geo=TR&hl=tr"
"melek mosso","2 B+","28 Temmuz 2025 11:20:00 UTC+3",,"melek mosso","https://trends.google.com/trends/explore?q=melek%20mosso&geo=TR&hl=tr"
"lauriente","10 B+","28 Temmuz 2025 08:30:00 UTC+3",,"lauriente,armand lauriente","https://trends.google.com/trends/explore?q=lauriente&geo=TR&hl=tr"
"ufuk aytekin","2 B+","28 Temmuz 2025 11:50:00 UTC+3",,"ufuk aytekin","https://trends.google.com/trends/explore?q=ufuk%20aytekin&geo=TR&hl=tr"
"ahmet aydın","2 B+","28 Temmuz 2025 22:30:00 UTC+3",,"ahmet aydın,daltonlar çetesi,daltonlar ahmet aydın,daltonlar","https://trends.google.com/trends/explore?q=ahmet%20ayd%C4%B1n&geo=TR&hl=tr"
"türkiye petrolleri 366 personel alımı","5 B+","28 Temmuz 2025 13:30:00 UTC+3",,"türkiye petrolleri 366 personel alımı,işkur tpao personel alımı,tpao 366 personel alımı,tpao,türkiye petrolleri anonim ortaklığı","https://trends.google.com/trends/explore?q=t%C3%BCrkiye%20petrolleri%20366%20personel%20al%C4%B1m%C4%B1&geo=TR&hl=tr"
"leao","5 B+","28 Temmuz 2025 01:10:00 UTC+3",,"leao","https://trends.google.com/trends/explore?q=leao&geo=TR&hl=tr"
"asgari ücret zammı","2 B+","28 Temmuz 2025 20:10:00 UTC+3",,"asgari ücret zammı,asgari ücrete zam gelecek","https://trends.google.com/trends/explore?q=asgari%20%C3%BCcret%20zamm%C4%B1&geo=TR&hl=tr"
"raci şaşmaz","5 B+","28 Temmuz 2025 11:10:00 UTC+3",,"raci şaşmaz,necati şaşmaz,emin olcay","https://trends.google.com/trends/explore?q=raci%20%C5%9Fa%C5%9Fmaz&geo=TR&hl=tr"
"beykoz yangın","1 B+","28 Temmuz 2025 22:00:00 UTC+3",,"beykoz yangın,beykoz","https://trends.google.com/trends/explore?q=beykoz%20yang%C4%B1n&geo=TR&hl=tr"
"kamu işçisi toplu sözleşme zammı","2 B+","28 Temmuz 2025 18:40:00 UTC+3",,"kamu işçisi toplu sözleşme zammı","https://trends.google.com/trends/explore?q=kamu%20i%C5%9F%C3%A7isi%20toplu%20s%C3%B6zle%C5%9Fme%20zamm%C4%B1&geo=TR&hl=tr"
"gram altın fiyatları","2 B+","28 Temmuz 2025 17:50:00 UTC+3",,"gram altın fiyatları,anlık altın","https://trends.google.com/trends/explore?q=gram%20alt%C4%B1n%20fiyatlar%C4%B1&geo=TR&hl=tr"
"on numara sonuçları","2 B+","28 Temmuz 2025 20:50:00 UTC+3",,"on numara sonuçları","https://trends.google.com/trends/explore?q=on%20numara%20sonu%C3%A7lar%C4%B1&geo=TR&hl=tr"
"sergen yalçın","2 B+","28 Temmuz 2025 01:00:00 UTC+3",,"sergen yalçın,ole gunnar","https://trends.google.com/trends/explore?q=sergen%20yal%C3%A7%C4%B1n&geo=TR&hl=tr"
